Item_Id,vtex_sku_id,status
1097687,N/A,Unmapped
1097688,N/A,Unmapped
1097729,N/A,Unmapped
1098050,19382,Mapped
1098259,4760,Mapped
1102050,60432,Mapped
1103413,9749,Mapped
1104809,9748,Mapped
1104816,1637,Mapped
1114245,12437,Mapped
1114246,5426,Mapped
1114250,12232,Mapped
1114251,12233,Mapped
1114385,2546,Mapped
1116577,18638,Mapped
1116635,31238,Mapped
1116644,5108,Mapped
1116645,82873,Mapped
1116652,5332,Mapped
1116700,22412,Mapped
1116701,22413,Mapped
1116702,22411,Mapped
1116703,13331,Mapped
1116706,22409,Mapped
1116710,22406,Mapped
1116721,22456,Mapped
1118582,20648,Mapped
1118747,76190,Mapped
1118812,9869,Mapped
1119078,21354,Mapped
1119128,82946,Mapped
1119129,82947,Mapped
1119130,82948,Mapped
1119131,82949,Mapped
1119132,82950,Mapped
1119133,82951,Mapped
1119134,82952,Mapped
1119147,17925,Mapped
1119175,N/A,Unmapped
1119176,N/A,Unmapped
1119182,N/A,Unmapped
1119183,N/A,Unmapped
1119188,N/A,Unmapped
1119190,N/A,Unmapped
1119191,N/A,Unmapped
1119194,N/A,Unmapped
1119195,N/A,Unmapped
1119203,N/A,Unmapped
1119204,N/A,Unmapped
1119205,N/A,Unmapped
1119207,N/A,Unmapped
1119208,N/A,Unmapped
1119209,N/A,Unmapped
1119211,N/A,Unmapped
1119214,17134,Mapped
1119230,N/A,Unmapped
1119231,N/A,Unmapped
1119233,N/A,Unmapped
1119234,N/A,Unmapped
1119242,N/A,Unmapped
1119243,N/A,Unmapped
1119244,N/A,Unmapped
1119245,N/A,Unmapped
1119246,N/A,Unmapped
1119247,N/A,Unmapped
1119249,N/A,Unmapped
1119254,N/A,Unmapped
1119255,N/A,Unmapped
1119256,N/A,Unmapped
1119259,N/A,Unmapped
1119263,N/A,Unmapped
1119268,N/A,Unmapped
1119275,N/A,Unmapped
1119278,N/A,Unmapped
1119291,N/A,Unmapped
1119307,N/A,Unmapped
1119311,N/A,Unmapped
1119317,N/A,Unmapped
1119318,N/A,Unmapped
1119319,N/A,Unmapped
1119320,N/A,Unmapped
1119327,N/A,Unmapped
1119350,N/A,Unmapped
