Item_Id,vtex_sku_id,product_name,Location_Id,unit_of_measure,hana_qty,pub_qty,unit_cost_clp,total_cost_clp,action,case_reason
2023547,N/A,Unknown Product,J512,UN,19.0,19.0,1144.0,21740.0,NO PUBLICAR,JERARQUIA DESHABILITADA
2060010,N/A,Unknown Product,J511,UN,22.0,22.0,988.0,21740.0,NO PUBLICAR,JERARQUIA DESHABILITADA
2051253,N/A,Unknown Product,J748,UN,9.0,9.0,2415.0,21739.0,NO PUBLICAR,JERARQUIA DESHABILITADA
2051308,N/A,Unknown Product,J592,UN,9.0,9.0,2415.0,21739.0,NO PUBLICAR,JERARQUIA DESHABILITADA
2042648,N/A,Unknown Product,J659,UN,12.0,12.0,1812.0,21738.0,NO PUBLICAR,JERARQUIA DESHABILITADA
1906025,116198,Guirnalda Alambre,J748,UN,21.0,21.0,1035.0,21737.0,NO PUBLICAR,JERARQUIA DESHABILITADA
2040762,N/A,Unknown Product,J989,UN,18.0,18.0,1208.0,21735.0,NO PUBLICAR,JERARQUIA DESHABILITADA
1122728,N/A,Unknown Product,J513,UN,3.0,3.0,7245.0,21735.0,NO PUBLICAR,JERARQUIA DESHABILITADA
2040762,N/A,Unknown Product,J796,UN,18.0,18.0,1208.0,21735.0,NO PUBLICAR,JERARQUIA DESHABILITADA
2028218,N/A,Unknown Product,J501,UN,43.0,43.0,505.0,21732.0,NO PUBLICAR,JERARQUIA DESHABILITADA
1122817,N/A,Unknown Product,J519,UN,4.0,4.0,5432.0,21728.0,NO PUBLICAR,JERARQUIA DESHABILITADA
2022914,N/A,Unknown Product,J507,UN,12.0,12.0,1811.0,21726.0,NO PUBLICAR,JERARQUIA DESHABILITADA
1208049,21839,Protector Cueros y Ropa Impraegnol 400 ml,J508,UN,10.0,10.0,2173.0,21725.0,NO PUBLICAR,LISTADO BAJA
2042767,N/A,Unknown Product,J503,UN,36.0,36.0,603.0,21725.0,NO PUBLICAR,JERARQUIA DESHABILITADA
1120420,N/A,Unknown Product,J633,UN,2.0,2.0,10862.0,21724.0,NO PUBLICAR,JERARQUIA DESHABILITADA
1120420,N/A,Unknown Product,J512,UN,2.0,2.0,10862.0,21724.0,NO PUBLICAR,JERARQUIA DESHABILITADA
1988751,N/A,Unknown Product,J633,UN,3.0,3.0,7241.0,21723.0,NO PUBLICAR,JERARQUIA DESHABILITADA
1237297,N/A,Unknown Product,J519,UN,1.0,1.0,21723.0,21723.0,NO PUBLICAR,JERARQUIA DESHABILITADA
1237297,N/A,Unknown Product,J503,UN,1.0,1.0,21723.0,21723.0,NO PUBLICAR,JERARQUIA DESHABILITADA
